Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C
Digital Thermometer,OLY399,Olympus Corporation,2024-01-W,2018-05-09,Class I,CE5145,Pediatric,Designed for surgical assistance in patients with cancer under medical supervision.,Contraindicated in patients with severe active infections or uncontrolled thrombocytopenia.,Chemical Sterilization,3,6,6,0.24,25
Pulse Oximeter,Plus768,BioMérieux,v1.6,2016-02-17,Class III,HDE507614,Adult (18-65),Indicated for emergency blood pressure stabilization in trauma center resuscitation rooms.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Steam Sterilization,4,13,3,0.34,30
Ventilator,C-3163,Align Technology,2024-04-F,2022-11-26,Class I,D123486,Infant (0-2),Designed for tissue biopsy facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with metal implants or altered consciousness.,Single-Use Sterile,12,22,10,95.66,21
ECG Machine,PHI368,Philips Healthcare,Version 2,2019-07-11,Class I,PMDA-250198,Pediatric,Designed for diagnostic assessment in patients with cardiac disorders under medical supervision.,Do not use if sensor failure is detected or routine maintenance has expired.,Chemical Sterilization,2,5,6,5.66,19
Digital Thermometer,Plus980,Waters Corporation,2024-07-G,2018-03-24,Class I,BLA254675,Pediatric (2-18),Indicated for respiratory rate optimization in sleep medicine centers for respiratory disorders.,,Single-Use Sterile,5,9,3,0.49,27
Orthopedic Implant,Model 2397,Hologic,Version 8,2019-04-01,Class I,PMA733144,Adult,Indicated for oxygen saturation analysis in laboratory diagnostic testing environments.,Do not use if battery depletion is detected or routine maintenance has expired.,Gamma Irradiation,7,13,5,0.02,39
Digital Thermometer,A-6832,Sartorius,Rev. 2.9,2017-06-10,Class III,NDA590857,All,Indicated for pulmonary function surveillance in infection control protocols.,Do not use if patient has known allergy to alcohol-based solutions or hypersensitivity to chemotherapy drugs.,Hydrogen Peroxide Plasma,2,6,4,0.37,22
Dialysis Machine,Model 3297,Align Technology,Rev. 8.9,2021-09-22,Class III,NDA601009,Adult (>65),Used for intraoperative monitoring monitoring during complex neurological surgeries.,Contraindicated in patients with severe pacemakers or uncontrolled coagulopathy.,UV Sterilization,14,18,13,38.65,14
Pulse Oximeter,Z-8667,Cooper Companies,Version 6,2021-11-22,Class IIa,BLA192391,Adult (>65),Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.,"Not recommended during pregnancy, lactation, or in hemodynamically unstable under 15 years.",Not Applicable,3,6,6,0.12,31
Insulin Pump,ABB722,Abbott,Version 12,2019-02-27,Class III,NDA554205,Infant (0-2),Intended for continuous monitoring evaluation in rehabilitation medicine for stroke recovery.,Do not use in patients with bleeding disorders. Contraindicated in extreme temperature environments.,Steam Sterilization,8,10,11,2.67,11
Wound Care System,ALC564,Alcon,Rev. 7.6,2020-06-26,Class II,CE7756,Pediatric,Indicated for blood gas analysis analysis in laboratory diagnostic testing environments.,Not suitable for use with antibiotics or in extreme temperature environments.,Chemical Sterilization,4,12,10,6.24,17
Ventilator,B-9900,Sonova,v13.6,2025-04-05,Class III,D603396,Adult (>65),Indicated for diagnostic patient positioning to assess critical illness in clinical environments.,Avoid use if patient has bleeding disorders or history of blood clots.,UV Sterilization,12,29,12,148.11,22
Insulin Pump,X-3069,B. Braun,Rev. 4.4,2024-09-27,Class III,D313496,Geriatric,Used for post-operative thermal therapy management in hospital recovery units.,Not recommended in presence of epilepsy or at open wounds locations.,UV Sterilization,11,19,7,7.01,37
Wound Care System,Max281,Steris,Rev. 7.0,2017-05-05,Class III,Q647510,Geriatric,Indicated for intracranial pressure surveillance in infection control protocols.,Avoid use in patients with severe osteoporosis or severe epilepsy.,Dry Heat,2,13,8,14.37,11
Wound Care System,BIO978,BioMérieux,2020-12-D,2022-09-30,Class IIb,CE6923,Adult (18-65),Intended for surgical urological procedures in operating room settings.,Contraindicated in patients with thrombocytopenia or severe acute myocardial infarction.,,10,5,6,3.57,35
Digital Thermometer,HOL893,Hologic,Rev. 3.6,2024-08-25,Class I,NDA936709,Infant (0-2),Indicated for real-time glucose levels assessment in emergency department triage protocols.,Do not use during local anesthesia administration or in comatose.,Gamma Irradiation,3,12,6,0.28,15
Defibrillator,GE 292,GE Healthcare,v11.3,2024-07-07,Class II,IVDR-619091,Adult and Pediatric,Used for therapeutic electrotherapy in radiation therapy patients requiring medication administration.,Avoid use if patient has pulmonary edema or history of blood clots.,Hydrogen Peroxide Plasma,11,25,11,16.68,38
Surgical Robot,Model 5906,Philips Healthcare,Rev. 5.8,2015-10-05,Class III,UKCA32311,Adult,Designed for medication administration support in neonatal intensive care environments.,Contraindicated in patients with epilepsy or on chemotherapy drugs.,Chemical Sterilization,23,22,,3.25,37
Syringe Pump,X-5687,Danaher,Rev. 2.7,2019-08-29,Class III,UKCA98529,Adult (18-65),Used for intraoperative sterilization monitoring during complex orthopedic surgeries.,,Autoclave,12,16,10,4.7,35
Infusion Pump,C-7258,Becton Dickinson,2021-05-S,2025-03-29,Class I,CE7181,Adult (>65),Designed for patient rehabilitation in patients with orthopedic injuries under medical supervision.,Avoid use in patients with autoimmune disorders or uncontrolled bleeding disorders.,Single-Use Sterile,6,12,10,3.34,31
Patient Monitor,B-2028,Philips Healthcare,Version 14,2022-01-05,Class IIb,Q367446,Adult (18-65),Indicated for ECG readings analysis in laboratory diagnostic testing environments.,Avoid use in patients with acute myocardial infarction or severe severe cardiac arrhythmias.,Dry Heat,12,16,6,,30
Ventilator,SYN833,Synthes,2021-11-F,2023-06-07,Class I,,Infant (0-2),Intended for surgical reconstructive procedures in operating room settings.,Not recommended in presence of severe anemia or at infected areas locations.,UV Sterilization,15,24,20,105.75,25
Wound Care System,Model 8084,ConvaTec,Rev. 9.5,2016-01-26,Class I,NMPA-231753,All,Used for therapeutic cardiac therapy in organ transplant patients requiring catheterization.,Avoid use in patients with dental implants or screws and rods. Not suitable for underwater environments.,Not Applicable,7,12,,5.1,18
CPAP Machine,Model 2859,Cooper Companies,v12.0,2020-11-14,Class III,PMDA-102228,All,Used for emergency mechanical ventilation in acute chronic conditions situations requiring immediate care.,Not recommended for patients with severe anemia or severe metal implants.,Pre-Sterilized,6,5,13,16.99,
Nebulizer,Pro538,Thermo Fisher Scientific,Rev. 8.4,2020-08-05,Class I,TGA-391027,Neonatal,Indicated for routine calibration screening in outpatient clinical facilities.,Do not use if sensor failure is detected or quality control has expired.,UV Sterilization,4,5,8,3.55,24
Pacemaker,Max794,Sonova,Version 1,2021-03-12,Class IIb,IVDR-666304,Pediatric (2-18),Used for long-term electrotherapy delivery in ambulatory care settings for sleep apnea patients.,Do not use in combination with metallic particles or thermal therapy modalities.,Not Applicable,6,7,16,0.12,41
Blood Glucose Monitor,THE215,Thermo Fisher Scientific,Version 14,2023-07-30,Class IIa,CE1013,Pediatric (2-18),Used for post-operative pain management management in hospital recovery units.,,Not Applicable,11,8,7,0.37,25
CPAP Machine,GET543,Getinge,v10.8,2022-05-05,Class I,CE4730,Adult (18-65),Designed for mobility restoration assistance in geriatric care facilities for elderly patients.,Do not use in patients with skin allergies. Contraindicated in storage conditions.,Not Applicable,4,14,6,18.38,26
X-Ray Machine,B-1600,Siemens Healthineers,Version 16,2017-05-09,Class III,NDA171868,Adult and Pediatric,Indicated for routine documentation screening in outpatient clinical facilities.,Do not use if patient has known allergy to radioactive materials or hypersensitivity to bronchodilators.,Steam Sterilization,3,14,13,8.28,37
CPAP Machine,Model 9876,Baxter International,Version 10,2019-04-04,Class I,BLA549505,Neonatal,Used for post-operative phototherapy management in hospital recovery units.,"Not recommended during pregnancy, lactation, or in unconscious under 17 years.",Dry Heat,7,5,4,18.25,29
Anesthesia Machine,Model 5370,Cooper Companies,v13.8,2023-05-13,Class II,TGA-403552,Adult (18-65),Indicated for pulmonary function analysis in laboratory diagnostic testing environments.,,Steam Sterilization,8,30,15,27.58,15
Pulse Oximeter,Pro250,Becton Dickinson,v7.7,2021-06-15,Class IIb,CE2047,Neonatal,Used for intraoperative alarm management monitoring during complex vascular surgeries.,Contraindicated in patients with severe thrombocytopenia or uncontrolled severe osteoporosis.,Dry Heat,2,8,4,0.42,23
Pacemaker,Z-3230,Dentsply Sirona,Version 16,2020-05-12,Class IIa,K354707,Neonatal,Used for therapeutic thermal therapy in post-operative patients requiring intubation.,,UV Sterilization,5,3,15,0.17,38
Catheter,B-2630,Dexcom,2022-02-F,2022-04-26,Class III,HC-621232,Geriatric,Indicated for diagnostic assessment to assess diabetes in clinical environments.,Avoid use in patients with pregnancy or altered cognitive function.,UV Sterilization,6,14,10,7.92,19
Dialysis Machine,Max468,,Rev. 7.6,2019-08-13,Class IIa,TGA-871542,Geriatric,Designed for home-based radiation therapy in stable hemodynamically unstable patients with chronic cancer.,Avoid use in patients with active infections or severe sepsis.,Single-Use Sterile,13,18,11,78.71,10
Insulin Pump,X-2692,Karl Storz,Version 8,2015-09-02,Class IIa,UKCA25228,Infant (0-2),Designed for life support in patients with sepsis under medical supervision.,Not recommended for use in burn patients or those with renal insufficiency.,Pre-Sterilized,8,16,8,2.87,39
Electrosurgical Unit,DEX302,Dexcom,Version 1,2021-03-27,Class I,H710855,Pediatric (2-18),Used for pain management administration in pediatric hospital units under specialist supervision.,"Not recommended during pregnancy, lactation, or in organ transplant under 15 years.",Steam Sterilization,10,25,12,15.61,13
Ventilator,ALC239,Alcon,Version 4,2015-02-18,Class IIa,PMDA-332129,Geriatric,Indicated for diagnostic measurement to assess critical illness in clinical environments.,Do not use in combination with muscle relaxants or cardiac therapy modalities.,Single-Use Sterile,23,25,14,105.83,11
Surgical Drill,X-1292,,2021-02-Z,2020-01-20,Class III,NMPA-528301,Adult and Pediatric,Intended for specimen collection support in cardiac catheterization laboratory environments.,Not suitable for use with metallic particles or in home use.,Hydrogen Peroxide Plasma,22,26,14,16.67,22
Insulin Pump,X-5630,Mindray,2022-06-R,2018-03-26,Class I,P247017,Adult (>65),Designed for preventive screening assistance in geriatric care facilities for elderly patients.,"Not recommended during pregnancy, lactation, or in critically ill under 13 years.",Gamma Irradiation,10,15,10,4.8,31
Digital Thermometer,SON885,Sonova,2021-01-R,2018-05-07,Class I,D270001,All,Indicated for temperature optimization in sleep medicine centers for respiratory disorders.,Contraindicated in presence of conductive gels or during therapeutic ultrasound.,Chemical Sterilization,5,4,4,0.25,23
Pacemaker,Model 2047,Steris,Rev. 4.7,2024-12-22,Class III,,Adult (18-65),Used for fluid resuscitation guidance in oncology treatment centers for cancer patients.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,,3,8,19,0.01,42
Surgical Robot,Max826,BioMérieux,v12.4,2015-09-22,Class III,TGA-811678,Infant (0-2),Designed for intubation facilitation in telemedicine and remote patient monitoring.,Contraindicated in patients with cardiomyopathy or burns risk.,Chemical Sterilization,24,24,11,2.76,31
Ventilator,COO799,Cook Medical,Rev. 6.4,2025-11-20,Class I,D398841,Adult (18-65),Used for emergency joint replacement in acute sepsis situations requiring immediate care.,Avoid use in patients with severe anemia or uncontrolled malignant hyperthermia.,Single-Use Sterile,21,14,9,125.98,18
Surgical Drill,ABB898,Abbott,2024-07-J,2019-03-06,Class III,D121369,Neonatal,Designed for patient rehabilitation assistance in geriatric care facilities for elderly patients.,,Autoclave,16,23,,10.18,23
CPAP Machine,Max847,Aesculap,v3.5,2016-08-13,Class III,MDR-920176,Pediatric (2-18),Designed for stent placement facilitation in telemedicine and remote patient monitoring.,,Ethylene Oxide (EtO),9,10,10,11.15,22
Insulin Pump,B-8036,IDEXX Laboratories,Rev. 5.9,2016-11-29,Class IIb,HDE508631,Pediatric (2-18),Used for long-term drug delivery delivery in ambulatory care settings for critical illness patients.,Contraindicated in patients with pacemakers or burns risk.,UV Sterilization,6,19,10,7.46,12
Patient Monitor,X-2380,Coloplast,v11.7,2019-08-07,Class I,PMA634433,Infant (0-2),Indicated for pH levels surveillance in infection control protocols.,Not suitable for use during MRI scanning or X-ray.,Hydrogen Peroxide Plasma,8,16,5,6.31,36
Blood Pressure Monitor,ZIM755,Zimmer Biomet,Version 16,2023-08-14,Class III,TGA-601749,Pediatric (2-18),Intended for imaging verification in quality assurance and device validation protocols.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,12,16,7,,30
Ultrasound Scanner,B-4979,Dentsply Sirona,v3.9,2020-10-20,Class III,Q893205,All,Designed for drug delivery optimization in chronic disease management programs.,Do not use if sensor failure is detected or quality control has expired.,Chemical Sterilization,10,5,4,9.27,34
Digital Thermometer,X-6919,Cardinal Health,Version 1,2015-04-25,Class III,BLA664229,Adult (>65),Designed for electrotherapy optimization in chronic disease management programs.,"Not recommended during pregnancy, lactation, or in trauma under 13 years.",,10,8,6,0.39,28
Digital Thermometer,A-3737,Synthes,v15.1,2022-03-27,Class IIb,NDA303730,Pediatric,Intended for preventive screening therapy in intensive care unit environments for critically ill patients.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Gamma Irradiation,7,3,7,,29
Surgical Drill,SAR755,Sartorius,Version 1,2025-06-19,Class III,BLA696694,Adult and Pediatric,Indicated for real-time glucose levels assessment in emergency department triage protocols.,Not suitable for use in radiation therapy areas with radiation or during unsupervised use.,Dry Heat,16,24,6,6.9,30
Syringe Pump,Max656,Roche,v8.4,2019-06-29,Class IIa,UKCA37119,Pediatric,Intended for assessment verification in quality assurance and device validation protocols.,Do not use in patients with severe hypertension. Contraindicated in storage conditions.,Dry Heat,14,8,7,5.28,22
Pacemaker,Model 8405,Mölnlycke Health Care,Rev. 3.7,2025-11-11,Class II,,Infant (0-2),Indicated for real-time pulmonary function assessment in emergency department triage protocols.,,Dry Heat,4,6,12,0.1,
Surgical Robot,X-8816,Fresenius Medical Care,Version 17,2016-09-28,Class IIa,PMA992639,Adult (>65),Indicated for electrolyte balance optimization in sleep medicine centers for respiratory disorders.,,Steam Sterilization,13,21,14,17.0,35
Surgical Robot,Plus843,Baxter International,v12.5,2019-12-13,Class III,PMDA-446755,Adult and Pediatric,Indicated for routine sterilization screening in outpatient clinical facilities.,Avoid use in patients with active autoimmune disorders or compromised cardiovascular function.,Hydrogen Peroxide Plasma,15,18,11,9.78,18
CPAP Machine,INT847,Intuitive Surgical,Rev. 9.7,2019-08-31,Class III,H618816,Neonatal,Indicated for oxygen saturation surveillance in infection control protocols.,Avoid use if patient has immunodeficiency or history of embolism.,Chemical Sterilization,8,12,8,19.21,21
Wound Care System,Model 446,Align Technology,Version 14,2022-08-18,Class I,P383980,Infant (0-2),Used for thermal therapy guidance in oncology treatment centers for cancer patients.,Contraindicated in presence of muscle relaxants or during cryotherapy.,Chemical Sterilization,10,8,10,16.34,37
Anesthesia Machine,Model 5529,Cardinal Health,Version 3,2020-06-18,Class III,NMPA-899510,Adult (18-65),Used for chemotherapy administration in pediatric hospital units under specialist supervision.,Not recommended in presence of pulmonary edema or at open wounds locations.,Hydrogen Peroxide Plasma,9,21,9,52.61,16
Digital Thermometer,Z-9227,Olympus Corporation,2020-09-K,2024-04-17,Class I,UKCA21865,Pediatric (2-18),Intended for blood transfusion delivery in palliative care settings for terminal patients.,Contraindicated in patients with metal implants or on antibiotics.,Gamma Irradiation,8,12,3,0.1,34
Pulse Oximeter,STE326,Steris,2025-09-E,2024-10-18,Class III,Q392817,Adult (18-65),Indicated for routine alarm management screening in outpatient clinical facilities.,Not recommended in presence of pulmonary edema or at open wounds locations.,Steam Sterilization,5,7,3,0.41,22
Ventilator,B-6441,Align Technology,Rev. 4.3,2024-04-29,Class IIb,IVDR-417590,Adult (18-65),Intended for life support therapy in intensive care unit environments for critically ill patients.,Do not use in patients with coagulopathy. Contraindicated in high altitude conditions.,Steam Sterilization,11,14,19,35.66,11
Stent,Max670,Dentsply Sirona,Version 4,2022-09-27,Class II,PMDA-186879,Geriatric,Used for intraoperative specimen collection monitoring during complex transplant surgeries.,Contraindicated in patients with severe coagulopathy or uncontrolled pacemakers.,Chemical Sterilization,2,4,7,0.12,39
Ultrasound Scanner,Model 7349,Nipro Corporation,Version 9,2023-08-19,Class IIa,K841236,Geriatric,Indicated for real-time oxygen saturation assessment in emergency department triage protocols.,,Chemical Sterilization,8,14,9,16.6,37
Blood Pressure Monitor,Model 7474,Alcon,v1.4,2018-12-18,Class III,Q773900,Neonatal,Used for oxygen therapy administration in pediatric hospital units under specialist supervision.,Do not use in patients with respiratory failure or severe hepatic dysfunction.,Hydrogen Peroxide Plasma,8,20,10,5.01,11
Orthopedic Implant,B-4265,Johnson & Johnson,Rev. 3.3,2021-02-04,Class IIa,D489768,All,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Contraindicated in patients with severe immunodeficiency or uncontrolled malignant hyperthermia.,Hydrogen Peroxide Plasma,2,4,16,0.01,40
Ultrasound Scanner,MIN825,Mindray,v12.4,2019-01-05,Class II,NMPA-855614,Pediatric,Intended for monitoring and measuring pulmonary function in radiation therapy patients in hospital and clinical settings.,Do not use if patient has known allergy to antiseptics or hypersensitivity to petroleum products.,Hydrogen Peroxide Plasma,3,7,13,13.87,
Wound Care System,Model 8212,Dexcom,v15.5,2017-10-26,Class III,CE7688,Adult and Pediatric,Indicated for blood pressure optimization in sleep medicine centers for respiratory disorders.,Avoid use in patients with pins and wires or cochlear implants. Not suitable for chemical exposure areas.,UV Sterilization,8,11,14,4.65,28
Blood Glucose Monitor,TER856,Terumo,2020-08-H,2023-09-04,Class IIa,D160475,Pediatric,Designed for pacemaker implantation facilitation in telemedicine and remote patient monitoring.,Not suitable for use in fire hazard zones with radiation or during hyperbaric chambers.,Dry Heat,8,17,7,0.18,20
CPAP Machine,JOH954,Johnson & Johnson,v14.9,2023-06-01,Class III,MDR-753753,All,Designed for wound debridement support in neonatal intensive care environments.,Contraindicated in patients with severe diabetes or unable to remain still.,Steam Sterilization,5,15,13,7.77,25
Surgical Drill,B-4323,Olympus Corporation,Rev. 6.3,2025-11-10,Class II,HDE435214,Adult (18-65),Intended for disease management therapy in intensive care unit environments for critically ill patients.,Not recommended for use in critically ill patients or those with renal insufficiency.,Dry Heat,11,23,10,9.58,20
Digital Thermometer,DEX716,Dexcom,Rev. 10.1,2019-04-24,Class II,UKCA53440,Pediatric,Designed for perioperative cardiac output management during ophthalmic interventions.,Do not use if patient has known allergy to bronchodilators or hypersensitivity to bronchodilators.,UV Sterilization,3,10,5,0.22,20
Catheter,X-2863,Beckman Coulter,Rev. 4.4,2017-02-14,Class II,NMPA-408687,Adult (18-65),Designed for mechanical ventilation support in neonatal intensive care environments.,Do not use in combination with muscle relaxants or wound irrigation modalities.,UV Sterilization,6,6,6,12.53,26
Orthopedic Implant,Plus248,Cooper Companies,v8.8,2021-05-20,Class III,UKCA48805,Geriatric,Intended for blood transfusion delivery in palliative care settings for terminal patients.,Do not use during general anesthesia administration or in comatose.,Single-Use Sterile,7,11,13,0.16,41
Blood Glucose Monitor,Model 5260,Smith & Nephew,2024-11-U,2020-05-31,Class III,,Pediatric,Intended for monitoring and measuring pH levels in substance abuse patients in hospital and clinical settings.,Contraindicated in patients with severe severe osteoporosis or uncontrolled pacemakers.,Gamma Irradiation,6,11,3,0.19,
Ventilator,Model 8224,Stryker,Version 12,2019-10-28,Class I,D529691,Adult (18-65),Intended for catheterization delivery in palliative care settings for terminal patients.,Avoid use in patients with severe cardiac arrhythmias or severe thrombocytopenia.,Gamma Irradiation,21,20,9,72.12,35
Nebulizer,Plus376,IDEXX Laboratories,v15.9,2025-10-15,Class II,H761310,Adult (>65),Designed for catheterization support in neonatal intensive care environments.,Do not use in patients with stroke or severe malignant hyperthermia.,UV Sterilization,3,11,12,7.4,37
Dialysis Machine,B-7112,Stryker,Version 4,2025-10-18,Class IIa,UKCA93514,All,Designed for perioperative pH levels management during gastroenterological interventions.,Not recommended for patients with sepsis or severe acute myocardial infarction.,Autoclave,8,11,13,16.91,27
Surgical Drill,Plus516,Steris,v10.4,2021-07-20,Class I,NMPA-652890,Neonatal,Designed for perioperative glucose levels management during transplant interventions.,Avoid use in patients with renal insufficiency or altered consciousness.,Steam Sterilization,25,21,12,4.97,37
Surgical Robot,Z-6543,Alcon,2023-03-P,2021-08-06,Class IIb,NMPA-481983,All,Designed for respiratory support optimization in chronic disease management programs.,Do not use if malformations is present or wound is infected.,Gamma Irradiation,17,15,3,6.06,19
Blood Glucose Monitor,SIE756,Siemens Healthineers,Rev. 8.5,2024-04-20,Class IIb,NMPA-224582,Infant (0-2),Intended for infection control therapy in intensive care unit environments for critically ill patients.,Avoid use if patient has pacemakers or is receiving corticosteroids.,Single-Use Sterile,11,20,4,0.17,15
Blood Glucose Monitor,CAR992,Cardinal Health,2022-08-G,2025-10-26,Class III,,Infant (0-2),Indicated for pH levels analysis in laboratory diagnostic testing environments.,Do not use in patients with sepsis or severe severe cardiac arrhythmias.,Steam Sterilization,9,15,4,0.16,20
ECG Machine,Model 7838,Philips Healthcare,Rev. 3.8,2022-12-13,Class I,CE4068,Pediatric (2-18),Intended for monitoring verification in quality assurance and device validation protocols.,Not suitable for use with chemotherapy drugs or in hyperbaric chambers.,Dry Heat,2,5,10,1.57,13
X-Ray Machine,DEX332,Dexcom,Rev. 5.8,2023-07-07,Class I,TGA-239418,Pediatric (2-18),Intended for calibration support in cardiac catheterization laboratory environments.,Avoid use if patient has uncontrolled seizures or is receiving blood thinners.,UV Sterilization,3,15,6,14.76,12
Orthopedic Implant,Plus552,IDEXX Laboratories,v2.8,2020-03-21,Class III,UKCA94142,Adult (>65),Used for drug delivery administration in pediatric hospital units under specialist supervision.,Contraindicated in patients with severe renal insufficiency or uncontrolled pulmonary edema.,Steam Sterilization,4,13,23,0.13,38
Surgical Robot,Model 2232,Waters Corporation,Rev. 7.8,2018-02-07,Class IIb,HDE752712,Adult (>65),Indicated for glucose levels analysis in laboratory diagnostic testing environments.,Avoid use in patients with respiratory failure or altered consciousness.,Chemical Sterilization,22,26,4,7.01,39
X-Ray Machine,Max867,Intuitive Surgical,v1.8,2025-10-30,Class III,CE4216,Neonatal,Intended for infection control evaluation in rehabilitation medicine for infectious diseases recovery.,Do not use during general anesthesia administration or in sedated.,Not Applicable,5,14,15,19.08,29
Defibrillator,SON294,Sonova,2022-06-R,2023-10-16,Class III,H234999,Pediatric,Intended for device maintenance verification in quality assurance and device validation protocols.,Not suitable for use during diathermy procedures or MRI.,Dry Heat,19,16,15,3.75,13
Defibrillator,PHI971,Philips Healthcare,2022-11-W,2018-05-11,Class II,BLA883907,Geriatric,Intended for symptom relief therapy in intensive care unit environments for critically ill patients.,Avoid use if patient has hepatic dysfunction or is receiving blood thinners.,Dry Heat,13,17,13,9.91,40
Electrosurgical Unit,SIE876,Siemens Healthineers,2025-04-U,2019-07-25,Class IIb,CE7478,Neonatal,Indicated for diagnostic documentation to assess diabetes in clinical environments.,Do not use in patients with peripheral vascular disease or severe immunodeficiency.,Pre-Sterilized,16,14,3,0.93,33
Patient Monitor,CAR722,Cardinal Health,Version 17,2015-06-20,Class III,UKCA81148,Adult,Indicated for continuous oxygen saturation monitoring during ophthalmic surgical procedures.,Do not use in combination with magnetic materials or wound irrigation modalities.,Hydrogen Peroxide Plasma,8,9,8,3.09,12
Infusion Pump,FRE707,Fresenius Medical Care,v7.3,2023-12-17,Class IIb,UKCA53005,Adult (>65),Intended for life support evaluation in rehabilitation medicine for chronic conditions recovery.,Not suitable for use in oxygen-rich environments with radiation or during explosive atmospheres.,Ethylene Oxide (EtO),7,17,,4.89,25
Defibrillator,RES184,ResMed,Rev. 9.6,2023-08-04,Class IIa,IVDR-570957,Adult,Intended for documentation support in cardiac catheterization laboratory environments.,Do not use during local anesthesia administration or in comatose.,,24,12,15,16.27,28
Nebulizer,Model 2811,B. Braun,v3.3,2016-04-29,Class II,D976518,All,Intended for surgical assistance evaluation in rehabilitation medicine for critical illness recovery.,Avoid use if patient has bleeding disorders or history of blood clots.,Steam Sterilization,3,3,,4.87,25
Nebulizer,Model 1728,Terumo,2021-01-E,2016-02-28,Class I,PMDA-670209,Neonatal,Used for drug delivery guidance in oncology treatment centers for cancer patients.,Do not use if sensor failure is detected or quality control has expired.,Ethylene Oxide (EtO),9,3,9,1.67,14
Insulin Pump,Model 9396,Getinge,Rev. 3.4,2019-03-14,Class I,PMA631510,Geriatric,Designed for perioperative blood gas analysis management during reconstructive interventions.,Do not use in patients with peripheral vascular disease or severe severe diabetes.,Not Applicable,10,15,7,3.39,34
Orthopedic Implant,Model 8650,GE Healthcare,Version 9,2015-02-06,Class I,PMDA-791169,Infant (0-2),Used for intraoperative alarm management monitoring during complex vascular surgeries.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Autoclave,2,10,5,0.12,38
Catheter,Pro768,Intuitive Surgical,Rev. 8.2,2019-12-11,Class II,D573772,Geriatric,Intended for monitoring and measuring oxygen saturation in organ transplant patients in hospital and clinical settings.,Contraindicated in patients with acute myocardial infarction or burns risk.,Ethylene Oxide (EtO),5,5,10,9.47,25
Ultrasound Scanner,Pro883,Danaher,Rev. 8.1,2024-02-17,Class III,PMDA-876304,Adult (>65),Intended for monitoring and measuring blood gas analysis in critically ill patients in hospital and clinical settings.,Avoid use in patients with breast implants or breast implants. Not suitable for aircraft cabins.,Ethylene Oxide (EtO),2,7,13,19.11,11
Electrosurgical Unit,Pro643,Aesculap,v14.0,2020-11-28,Class III,HDE934380,Adult,Indicated for continuous electrolyte balance monitoring during orthopedic surgical procedures.,Do not use in combination with petroleum products or fluid resuscitation modalities.,,24,27,8,1.62,25
Ultrasound Scanner,Model 1388,Terumo,v3.6,2025-08-23,Class I,MDR-318520,Neonatal,Designed for disease management in patients with hypertension under medical supervision.,Avoid use if patient has pulmonary edema or history of blood clots.,Single-Use Sterile,8,3,12,19.7,37
Patient Monitor,Plus343,Steris,2023-10-U,2023-05-29,Class II,P836878,All,Indicated for routine infection prevention screening in outpatient clinical facilities.,,,12,16,5,6.12,20
Nebulizer,X-3321,Zimmer Biomet,v7.6,2022-08-17,Class III,BLA156988,Pediatric,Indicated for real-time glucose levels assessment in emergency department triage protocols.,Avoid use in patients with penile implants or spinal implants. Not suitable for oxygen-rich environments.,UV Sterilization,7,8,6,2.24,32
Insulin Pump,B-3286,Terumo,Version 4,2018-11-22,Class I,PMDA-527191,Adult and Pediatric,Designed for defibrillation facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with severe hypertension or severe active infections.,Steam Sterilization,13,20,11,1.09,33
Defibrillator,Plus541,Sonova,2021-02-X,2019-04-11,Class I,PMA936771,Infant (0-2),Indicated for routine imaging screening in outpatient clinical facilities.,Contraindicated in patients with autoimmune disorders or burns risk.,Dry Heat,9,15,14,16.86,15
Wound Care System,Z-6275,Zeiss Medical Technology,Version 13,2015-05-05,Class II,P889326,Neonatal,Indicated for continuous pH levels monitoring during orthopedic surgical procedures.,Contraindicated in patients with skin allergies or on radioactive materials.,Gamma Irradiation,10,9,14,7.32,35
Catheter,Model 2837,,Version 2,2024-07-16,Class III,K939517,Infant (0-2),Intended for therapeutic delivery evaluation in rehabilitation medicine for cardiac disorders recovery.,Not recommended for patients with cardiomyopathy or severe cardiomyopathy.,Single-Use Sterile,2,4,7,,40
Stent,Model 2155,Zimmer Biomet,Rev. 6.7,2023-08-18,Class I,CE3820,Adult,Designed for symptom relief assistance in geriatric care facilities for elderly patients.,Avoid use in patients with skin allergies or altered consciousness.,Ethylene Oxide (EtO),6,6,24,0.2,40
ECG Machine,ABB990,Abbott,2022-12-M,2021-05-13,Class I,PMA948111,Pediatric,Used for intraoperative measurement monitoring during complex cardiac surgeries.,Contraindicated in patients with pregnancy or burns risk.,Single-Use Sterile,7,5,3,8.5,30
